index,Name,Netflows,First_Protocol,Second_Protocol,Third_Protocol,p1_d,p2_d,p3_d,duration,max_d,min_d,#packets,Avg_bps,Avg_pps,Avg_bpp,#Bytes,#sp,#dp,first_sp,second_sp,third_sp,first_dp,second_dp,third_dp,p1_ip,p2_ip,p3_ip,p1_ib,p2_ib,p3_ib,Type,Cryptocurrency,Id_Cryptocurrency
337,37-csves/4.csv,32,TCP,,,10.18825,16.6385,26.5915,641.5450000000002,60.771,0.239,404,1282,1,136,55157,2,2,4444,58780.0,,4444,58780.0,,6.25,11.5,14.25,507.0,788.0,2530.0,mine,Etherium,4
87,25-csves/1.csv,4,TCP,,,521.155,521.156,521.1569999999999,2084.624,521.1569999999999,521.155,72,133,0,120,8694,2,2,51085,14444.0,,51085,14444.0,,18.0,18.0,18.0,882.0,2173.5,3465.0,mine,Monero,5
756,89-csves/3.csv,2,TCP,,,578.271,578.92,579.569,1157.84,580.2180000000001,577.622,713,1341,1,136,97314,2,2,4444,58780.0,,4444,58780.0,,348.25,356.5,364.75,32151.0,48657.0,65163.0,mine,Etherium,4
3,0-csves/3.csv,2,TCP,,,297.54825,297.5485,297.54875,595.097,297.54900000000004,297.548,373,1382,1,137,51426,2,2,4444,58780.0,,4444,58780.0,,181.75,186.5,191.25,16929.5,25713.0,34496.5,mine,Etherium,4
269,32-csves/3.csv,10,TCP,,,8.7695,10.016,18.309,570.6869999999999,250.012,0.0,334,1242,1,134,45031,2,2,4444,58780.0,,4444,58780.0,,6.0,7.5,12.0,253.25,978.0,2329.0,mine,Etherium,4
292,34-csves/14.csv,13,TCP,,,20.0,22.644000000000002,36.89,329.48,42.256,0.04,200,1254,1,134,26820,2,2,4444,56731.0,,56731,4444.0,,9.0,16.0,20.0,587.0,1094.0,3641.0,mine,Etherium,4
104,15-csves/8.csv,2,TCP,,,300.3545000000001,300.64,300.9255,601.28,301.211,300.069,27,324,0,451,12201,2,2,59090,3337.0,,59090,3337.0,,13.25,13.5,13.75,3190.25,6100.5,9010.75,mine,Bitcash,2
862,101-csves/2.csv,2,TCP,,,0.0,0.0,0.0,0.0,0.0,0.0,2,58800,50,147,294,2,2,4444,58780.0,,4444,58780.0,,1.0,1.0,1.0,83.5,147.0,210.5,mine,Etherium,4
201,33-csves/1.csv,2,TCP,,,394.15075,400.6575,407.16425,801.315,413.671,387.644,45,371,0,426,19206,2,2,3337,54082.0,,3337,54082.0,,22.25,22.5,22.75,5031.5,9603.0,14174.5,mine,Bitcash,2
238,57-csves/2.csv,2,TCP,,,282.22525,282.2255,282.22575,564.451,282.226,282.225,44,434,0,348,15314,2,2,3333,56490.0,,3333,56490.0,,21.5,22.0,22.5,4164.5,7657.0,11149.5,mine,Litecoin,3
792,408-csves/0.csv,83,UDP,TCP,,0.0,0.0,0.243,638.443,90.132,0.0,5174,267201,37,882,4568579,28,28,123,443.0,53.0,123,443.0,53.0,1.0,1.0,2.0,47.5,48.0,87.5,not_mine,,0
428,69-csves/6.csv,2,TCP,,,234.02075,234.0215,234.02225,468.043,234.023,234.02,26,374,0,421,10957,2,2,59090,3337.0,,59090,3337.0,,13.0,13.0,13.0,2869.25,5478.5,8087.75,mine,Bitcash,2
519,63-csves/2.csv,2,TCP,,,588.58125,588.5815,588.58175,1177.163,588.582,588.581,715,1327,1,136,97653,2,2,4444,58780.0,,4444,58780.0,,346.75,357.5,368.25,32406.25,48826.5,65246.75,mine,Etherium,4
256,30-csves/33.csv,11,TCP,,,20.0445,37.699,55.8715,469.216,100.706,1.734,309,1396,1,137,42364,2,2,55582,4444.0,,4444,55582.0,,14.5,25.0,37.0,810.5,2655.0,4943.0,mine,Etherium,4
64,19-csves/0.csv,4,TCP,,,244.99099999999999,245.028,245.065,980.112,245.065,244.99099999999999,56,192,0,105,5900,2,2,51085,14444.0,,51085,14444.0,,14.0,14.0,14.0,960.0,1475.0,1990.0,mine,Monero,5
334,37-csves/1.csv,12,TCP,,,12.22725,15.3205,20.00825,186.13899999999995,30.127,0.0,114,1210,1,136,15533,2,2,4444,58780.0,,4444,58780.0,,8.5,10.0,11.5,447.0,587.0,2256.0,mine,Etherium,4
307,74-csves/0.csv,2,TCP,,,276.618,276.618,276.618,553.236,276.618,276.618,41,394,0,333,13660,2,2,3333,56490.0,,3333,56490.0,,19.75,20.5,21.25,3794.0,6830.0,9866.0,mine,Litecoin,3
726,373-csves/1.csv,251,TCP,UDP,,0.0,5.103,45.351000000000006,6955.700000000002,138.72899999999998,0.0,5667,123761,19,813,4609148,63,58,443,80.0,123.0,443,80.0,123.0,1.0,2.0,4.0,32.0,67.0,146.5,not_mine,,0
532,273-csves/1.csv,61,TCP,UDP,,89.64299999999999,148.707,180.22,7916.823999999999,240.01,0.0,401,996,1,84,33802,35,31,443,80.0,5353.0,443,80.0,1900.0,5.0,5.0,8.0,160.0,224.0,280.0,not_mine,,0
222,36-csves/5.csv,4,TCP,,,90.145,167.545,244.938,670.1519999999999,244.938,90.124,62,536,0,362,22485,3,3,3332,51565.0,51561.0,3332,51561.0,51565.0,11.25,14.0,18.25,441.0,3419.0,8599.25,mine,Bitcoin,1
105,20-csves/3.csv,2,TCP,,,595.7662499999999,595.7665,595.76675,1191.5330000000001,595.7669999999999,595.766,689,1263,1,136,94080,2,2,4444,58780.0,,4444,58780.0,,336.75,344.5,352.25,31125.0,47040.0,62955.0,mine,Etherium,4
117,27-csves/3.csv,2,TCP,,,317.7705,324.819,331.8675,649.6379999999998,338.916,310.722,59,563,0,404,23861,2,2,3333,50348.0,,3333,50348.0,,28.75,29.5,30.25,6380.25,11930.5,17480.75,mine,Litecoin,3
72,12-csves/0.csv,2,TCP,,,126.79525,126.8025,126.80975,253.605,126.81700000000001,126.788,19,484,0,404,7680,2,2,52238,3332.0,,3332,52238.0,,8.25,9.5,10.75,1990.0,3840.0,5690.0,mine,Bitcoin,1
241,124-csves/0.csv,267,TCP,UDP,,0.0,0.17,45.056000000000004,5735.27,97.605,0.0,5908,217514,34,794,4695107,85,93,443,53.0,80.0,443,53.0,80.0,1.0,2.0,4.0,32.0,64.0,136.0,not_mine,,0
185,28-csves/8.csv,8,TCP,,,19.91125,91.9965,191.34900000000002,935.092,276.83799999999997,4.1419999999999995,591,1346,1,134,79687,2,2,4444,55582.0,,55582,4444.0,,16.75,62.0,121.5,906.0,4797.0,11574.75,mine,Etherium,4
4,0-csves/5.csv,2,TCP,,,258.54425,258.5445,258.54475,517.0889999999998,258.545,258.54400000000004,24,335,0,451,10834,2,2,3337,54082.0,,3337,54082.0,,12.0,12.0,12.0,2828.5,5417.0,8005.5,mine,Bitcash,2
65,35-csves/0.csv,52,UDP,TCP,,0.0,0.0,0.0,0.171,0.073,0.0,68,660,1,59,4069,28,28,53,443.0,41178.0,53,443.0,41178.0,1.0,1.0,1.0,44.5,65.5,95.25,not_mine,,0
488,251-csves/0.csv,413,UDP,TCP,ICMP6,0.0,0.0,2.707,1774.3879999999995,40.773,0.0,2179,43001,20,263,573358,208,210,53,443.0,0.0,53,443.0,40617.0,1.0,1.0,10.0,42.0,102.0,1798.0,not_mine,,0
224,37-csves/1.csv,4,TCP,,,241.16375,242.092,243.02025,968.368,243.021,241.16299999999998,70,480,0,415,29096,3,3,3332,51963.0,51964.0,3332,51963.0,51964.0,17.0,17.5,18.0,513.0,6961.0,13722.0,mine,Bitcoin,1
125,29-csves/3.csv,2,TCP,,,287.41925,287.4195,287.41975,574.8389999999998,287.42,287.41900000000004,48,350,0,262,12600,2,2,3333,56490.0,,3333,56490.0,,23.0,24.0,25.0,3622.0,6300.0,8978.0,mine,Litecoin,3
697,357-csves/1.csv,77,TCP,UDP,,3.003,59.742,90.15,5276.632999999999,180.22400000000002,0.0,303,732,1,65,19709,41,38,443,123.0,80.0,443,123.0,80.0,2.0,4.0,5.0,64.0,128.0,205.0,not_mine,,0
917,472-csves/0.csv,44,TCP,UDP,,18.097250000000006,45.058,47.07875,1538.7009999999998,60.003,0.0,4935,348765,47,925,4567689,27,25,443,80.0,53.0,443,80.0,1900.0,2.0,2.0,18.25,49.75,64.0,2206.75,not_mine,,0
625,76-csves/2.csv,14,TCP,,,4.19925,19.961,56.7565,957.074,357.838,0.079,603,1346,1,136,82107,2,2,4444,58780.0,,4444,58780.0,,3.25,12.5,34.5,553.0,922.0,3587.25,mine,Etherium,4
905,465-csves/1.csv,194,TCP,UDP,,58.967,90.1425,135.7725,17204.67,296.407,0.0,9444,179299,31,710,6708002,55,54,443,80.0,44412.0,443,80.0,1900.0,3.0,5.0,18.0,96.0,160.0,2727.5,not_mine,,0
